VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
TWC,https://www.timewarnercable.com/en/support/faqs/faqs-account-and-billing/appointments/how-can-i-check-the-status-of-.html,4
Uber Eats,https://www.ubereats.com,4
Uline,https://www.uline.com/Signin/Signin?reloc=/MyAccount/TrackOrders,4
Ulta,http://www.ulta.com/,4
Ulta Salon,http://www.ulta.com/,4
Under Armour,https://www.underarmour.com/en-us/track-order-page,4
Urban Outfitters,https://www.urbanoutfitters.com/,4
US Cellular,https://www.uscellular.com/uscellular/support/faq/faqDetails.jsp?topic=online-orders.html,4
Valley Vet,https://www.valleyvet.com/secure/ac_orderinquiry_1_na.html,4
Vanity Planet,https://www.vanityplanet.com/pages/order-lookup,4
Vans,https://www.vans.com,4
Varsity,https://varsity.com/uniforms/OrderTracker,4
VCF,http://www.valuecityfurniture.com/track-my-order,4
Vera Bradley,https://www.verabradley.com/us/static/customerservice/shipping,4
Verizon Wireless,https://www.verizonwireless.com/,4
Victorias Secret,https://www.victoriassecret.com,4
VitalChek,https://www.vitalchek.com/,4
Vitamix,https://www.vitamix.com/us/en_us/Order-Status,4
Vogue,https://www.vogue.com,4
Walgreens,https://www.walgreens.com/,4
Walmart,https://www.walmart.com/,4
Water Proof,https://www.pcmag.com/roundup/328228/the-best-waterproof-fitness-trackers,4
Way Fair,https://www.wayfair.com/track.php,4
Weathertech,http://www.weathertech.com/,4
Wet Seal,https://wetseal.com/,4
Williams-Sonoma,https://www.williams-sonoma.com/,4
Wish,https://www.wish.com/,4
Woman Within,http://www.womanwithin.com/,4
World Label,http://www.worldlabel.com/,4
WWE,https://shop.wwe.com/Account,4
Xfinity,https://www.xfinity.com/,4
Yandy,https://www.yandy.com/,4
Yankee Candle,http://www.yankeecandle.com/,4
Younkers,https://www.younkers.com/,4
Zales Repair,https://repair.zalecorp.com/Guest,4
Zappos,http://zappos.com,4
Zazzle,https://www.zazzle.com/,4
Zoomin,http://www.zoomin.com/in/,4
Zulily,https://www.zulily.com,4
11th Hour Express,http://www.11thhourexpress.com/,4
4 Same Day,http://www.4sameday.com/,4
A Duie Pyle,http://www.aduiepyle.com/,4
A Fast Trac,http://www.afasttraccourier.com/,4
A Pronto,http://www.a-pronto.com,4
A to Z,http://www.atozcouriers.com/,4
A1 Express,http://www.a1express.com/,4
A1 SJ,http://www.a1sj.com/,4
AAA Express Parcel,https://www.aaaexpressonline.com/,4
ABF Freight,https://arcb.com/abf-freight/resources/abf-tracking,4
Absolutely,http://www.absolutedelivery.com/,4
Accelarated,http://acceleratedlv.com/,4
Action Ship,http://actionship.com/,4
Aero Speed,http://www.aerospeed.com/,4
AFL Logistics,http://50.73.154.125/,4
Alaska Northern,http://www.alaskanortherncourier.com,4
All American Mail Center,http://napamailcenter.com/package-tracking,4
All State,http://www.allstatecourierinc.com,4
Alpha Express,http://www.alphaexpressinc.com/,4
American Airlines Cargo,https://www.aacargo.com/AACargo/tracking,4
American Expediting Co,http://americanexpediting.com/,4
Americas Best,http://www.americasbestcouriers.com,4
Amerijet ,https://www.amerijet.com/tracking.aspx,4
APC Postal Logistics,http://www.apc-pli.com/,4
Apollo Couriers,http://apollo.e-courier.com/apollo/home/index.asp?UserGUID=,4
Aprisa Express,http://www.aprisaexpress.com/,4
Arrow Express CT,http://www.arrowexpressct.com,4
Asap California,http://www.asapcalifornia.com/,4
Asendia USA,http://www.asendiausa.com/,4
AZ Messenger,http://www.azmessenger.com,4
Bags,http://courierbags.com/,4
Best,http://www.best-delivery.com,4
Best Messenger,http://www.bestmessenger.net/,4
Best Way,http://www.bwdservice.com/index.php,4
Blue Water Shipping Depot,http://bluewatershippingdepot.com/track-your-package/,4
Bocsit,http://www.bocsit.com/,4
Bolt Express,http://bolt-express.com/,4
Bonded Transportation,http://www.bondedtransportation.com/,4
Brattle,http://brattlecourierservice.net/onlineAccess/onlineAccess/login,4
